,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,3D Systems ,03/23,15.83,DDD,Sell,Buy
1,F45 Training ,03/23,12.13,FXLV,Buy,Sell
2,Holley ,03/23,14.01,HLLY,Buy,Sell
3,Robinhood ,03/23,13.08,HOOD,Sell,Buy
4,NVIDIA ,03/23,256.34,NVDA,Buy,Sell
5,On Holding ,03/23,27.44,ONON,Sell,Buy
6,SolarEdge Technologies ,03/23,327.27,SEDG,Buy,Sell
7,Scotts Miracle-Gro ,03/23,124.58,SMG,Sell,Buy
8,AT&T ,03/23,23.21,T,Sell,Buy
