,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,AMN Healthcare Services ,01/20,96.65,AMN,Buy,Sell
1,Bank of America ,01/20,45.75,BAC,Buy,Sell
2,Allbirds ,01/20,13.44,BIRD,Sell,Buy
3,Citigroup ,01/20,64.46,C,Sell,Buy
4,First Horizon National ,01/20,17.39,FHN,Buy,Sell
5,Goldman Sachs ,01/20,348.1,GS,Buy,Sell
6,JPMorgan Chase ,01/20,147.66,JPM,Buy,Sell
7,Lincoln Electric Holdings ,01/20,129.45,LECO,Buy,Sell
8,23andMe ,01/20,4.65,ME,Sell,Buy
9,Moderna ,01/20,167.52,MRNA,Sell,Buy
10,Morgan Stanley ,01/20,99.83,MS,Buy,Sell
11,NextEra Energy ,01/20,83.51,NEE,Buy,Sell
12,On Holding ,01/20,26.26,ONON,Sell,Buy
13,Pfizer ,01/20,54.05,PFE,Buy,Sell
14,ProLogis ,01/20,154.14,PLD,Buy,Sell
15,Sanofi ,01/20,52.09,SNY,Buy,Sell
16,Spero Therapeutics ,01/20,12.05,SPRO,Sell,Buy
17,Wells Fargo ,01/20,55.0,WFC,Buy,Sell
