,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,AbCellera Biologics ,05/16,7.81,ABCL,Buy,Sell
1,AEO ,05/16,14.11,AEO,Sell,Buy
2,Best Buy ,05/16,84.77,BBY,Buy,Sell
3,Capri Holdings ,05/16,43.19,CPRI,Buy,Sell
4,Digital Realty Trust ,05/16,128.41,DLR,Buy,Sell
5,Huntington Bancshares ,05/16,12.91,HBAN,Buy,Sell
6,Robinhood ,05/16,10.11,HOOD,Sell,Buy
7,Innovative Industrial Pro ,05/16,133.16,IIPR,Sell,Buy
8,Masimo ,05/16,134.93,MASI,Buy,Sell
9,Marvell Technology ,05/16,55.23,MRVL,Buy,Sell
10,Nucor ,05/16,119.75,NUE,Buy,Sell
11,Pfizer ,05/16,50.67,PFE,Buy,Sell
12,Stem ,05/16,7.23,STEM,Sell,Buy
13,Starwood Property Trust ,05/16,23.34,STWD,Buy,Sell
14,Whirlpool ,05/16,180.93,WHR,Buy,Sell
