,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Acuity Brands ,04/01,191.12,AYI,Sell,Buy
1,Liberty Braves Group ,04/01,27.89,BATRK,Buy,Sell
2,Broadridge Financial ,04/01,156.31,BR,Buy,Sell
3,ConAgra Foods ,04/01,34.08,CAG,Buy,Sell
4,Endeavor Group ,04/01,29.5,EDR,Buy,Sell
5,Formula One Group ,04/01,63.27,FWONA,Buy,Sell
6,Greenbrier Companies ,04/01,50.85,GBX,Sell,Buy
7,Joby Aviation ,04/01,6.47,JOBY,Sell,Buy
8,Levi Strauss ,04/01,19.83,LEVI,Buy,Sell
9,Manchester United ,04/01,14.7,MANU,Buy,Sell
10,23andMe ,04/01,3.96,ME,Buy,Sell
11,Madison Square Garden Spo ,04/01,178.26,MSGS,Buy,Sell
12,Nikola ,04/01,10.03,NKLA,Sell,Buy
13,Blue Owl Capital ,04/01,12.79,OWL,Buy,Sell
14,Constellation Brands ,04/01,233.71,STZ,Buy,Sell
15,WW International ,04/01,10.59,WW,Sell,Buy
