,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Broadcom ,06/07,572.99,AVGO,Buy,Sell
1,AxoGen ,06/07,9.56,AXGN,Sell,Buy
2,BlackLine ,06/07,78.32,BL,Sell,Buy
3,Bridge Investment Group ,06/07,17.7,BRDG,Sell,Buy
4,Chubb ,06/07,213.62,CB,Buy,Sell
5,e.l.f. Beauty ,06/07,27.63,ELF,Buy,Sell
6,Enbridge ,06/07,47.53,ENB,Buy,Sell
7,Farfetch ,06/07,9.13,FTCH,Sell,Buy
8,Johnson & Johnson ,06/07,178.34,JNJ,Buy,Sell
9,Eli Lilly ,06/07,312.1,LLY,Buy,Sell
10,Lyft ,06/07,17.21,LYFT,Buy,Sell
11,MetLife ,06/07,67.69,MET,Buy,Sell
12,Palo Alto Networks ,06/07,527.0,PANW,Buy,Sell
13,JM Smucker ,06/07,130.31,SJM,Buy,Sell
14,Target ,06/07,155.98,TGT,Buy,Sell
