,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Axon Enterprise ,04/20,124.64,AXON,Buy,Sell
1,AstraZeneca ,04/20,68.85,AZN,Sell,Buy
2,Brunswick ,04/20,79.35,BC,Buy,Sell
3,Baker Hughes ,04/20,35.33,BKR,Sell,Buy
4,Walt Disney ,04/20,124.57,DIS,Buy,Sell
5,Halliburton ,04/20,39.6,HAL,Buy,Sell
6,Intuitive Surgical ,04/20,302.9,ISRG,Buy,Sell
7,Johnson & Johnson ,04/20,183.89,JNJ,Buy,Sell
8,Morgan Stanley ,04/20,90.61,MS,Buy,Sell
9,Netflix ,04/20,226.19,NFLX,Sell,Buy
10,OneMain Holdings ,04/20,49.89,OMF,Sell,Buy
11,Procter & Gamble ,04/20,163.65,PG,Buy,Sell
12,Regions Financial ,04/20,21.97,RF,Buy,Sell
13,Banco Santander ,04/20,3.46,SAN,Buy,Sell
14,Schlumberger ,04/20,42.68,SLB,Buy,Sell
15,Tesla ,04/20,977.2,TSLA,Buy,Sell
16,Uranium Energy ,04/20,6.11,UEC,Sell,Buy
17,US Bancorp ,04/20,53.05,USB,Sell,Buy
