,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,American Campus Communiti ,04/05,55.79,ACC,Buy,Sell
1,Avalonbay Communities ,04/05,249.44,AVB,Buy,Sell
2,Camden Property ,04/05,169.91,CPT,Buy,Sell
3,Cognizant Technology ,04/05,86.8,CTSH,Buy,Sell
4,Fisker ,04/05,13.91,FSR,Buy,Sell
5,Independence Realty Trust ,04/05,26.26,IRT,Buy,Sell
6,Cheniere Energy ,04/05,140.76,LNG,Buy,Sell
7,National Oilwell Varco ,04/05,19.37,NOV,Buy,Sell
8,Tellurian ,04/05,6.01,TELL,Buy,Sell
9,United Continental ,04/05,44.71,UAL,Buy,Sell
