,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,AppFolio ,03/21,111.86,APPF,Buy,Sell
1,American Express ,03/21,189.09,AXP,Buy,Sell
2,Berkshire Hathaway (BRK.B),03/21,349.66,B,Buy,Sell
3,Delta Air Lines ,03/21,36.09,DAL,Buy,Sell
4,Vaalco Energy ,03/21,6.12,EGY,Buy,Sell
5,Enterprise Products Partn ,03/21,24.56,EPD,Buy,Sell
6,Kroger ,03/21,55.68,KR,Buy,Sell
7,Macy's ,03/21,26.78,M,Buy,Sell
8,Plains All American Pipel ,03/21,10.85,PAA,Buy,Sell
9,PPG Industries ,03/21,128.91,PPG,Buy,Sell
10,Star Bulk Carriers ,03/21,29.59,SBLK,Buy,Sell
11,Stifel Financial ,03/21,69.45,SF,Buy,Sell
12,Truist Financial ,03/21,58.62,TFC,Buy,Sell
