,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Airbnb ,01/18,154.69,ABNB,Buy,Sell
1,Boeing ,01/18,225.01,BA,Buy,Sell
2,Covetrus ,01/18,16.61,CVET,Buy,Sell
3,Goldman Sachs ,01/18,354.4,GS,Buy,Sell
4,Microsoft ,01/18,302.65,MSFT,Buy,Sell
5,Sports Entertainment Acqu ,01/18,9.98,SEAH,Buy,Sell
6,T-Mobile US ,01/18,106.91,TMUS,Buy,Sell
7,Unilever ,01/18,46.45,UL,Buy,Sell
8,Wheels Up ,01/18,4.05,UP,Sell,Buy
9,Veeva Systems ,01/18,218.27,VEEV,Sell,Buy
