,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Dutch Bros ,03/14,48.28,BROS,Buy,Sell
1,Enterprise Products Partn ,03/14,24.58,EPD,Buy,Sell
2,Honeywell ,03/14,183.2,HON,Buy,Sell
3,Marvell Technology ,03/14,60.25,MRVL,Buy,Sell
4,Nucor ,03/14,132.05,NUE,Sell,Buy
5,Scotts Miracle-Gro ,03/14,111.87,SMG,Buy,Sell
6,Snap ,03/14,28.0,SNAP,Sell,Buy
7,STORE Capital ,03/14,28.73,STOR,Sell,Buy
8,Twitter ,03/14,33.03,TWTR,Buy,Sell
