,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Adobe Systems ,06/09,426.42,ADBE,Buy,Sell
1,Affirm ,06/09,21.18,AFRM,Buy,Sell
2,Berkshire Hathaway (BRK.B),06/09,300.8,B,Buy,Sell
3,Anheuser-Busch InBev ,06/09,53.17,BUD,Buy,Sell
4,Enterprise Products Partn ,06/09,28.12,EPD,Buy,Sell
5,Portillo's ,06/09,17.64,PTLO,Sell,Buy
6,Six Flags ,06/09,28.74,SIX,Sell,Buy
7,Splunk ,06/09,102.7,SPLK,Buy,Sell
8,Block ,06/09,76.58,SQ,Buy,Sell
9,Constellation Brands ,06/09,241.65,STZ,Buy,Sell
10,Uber ,06/09,25.44,UBER,Buy,Sell
