,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,American Tower ,06/01,252.56,AMT,Buy,Sell
1,Atlantica Sustainable Inf ,06/01,32.15,AY,Buy,Sell
2,Boeing ,06/01,130.65,BA,Sell,Buy
3,Boise Cascade ,06/01,78.58,BCC,Buy,Sell
4,DigitalBridge ,06/01,5.93,DBRG,Sell,Buy
5,Danaher ,06/01,261.0,DHR,Buy,Sell
6,Digital Realty Trust ,06/01,137.44,DLR,Buy,Sell
7,Doximity ,06/01,35.53,DOCS,Buy,Sell
8,GoodRX ,06/01,7.51,GDRX,Sell,Buy
9,Idexx Laboratories ,06/01,369.63,IDXX,Sell,Buy
10,InMode ,06/01,25.56,INMD,Sell,Buy
11,Marten Transport ,06/01,17.51,MRTN,Buy,Sell
12,Olaplex Holdings ,06/01,15.66,OLPX,Sell,Buy
13,Procter & Gamble ,06/01,145.64,PG,Buy,Sell
14,SentinelOne ,06/01,24.64,S,Buy,Sell
15,AT&T ,06/01,21.22,T,Buy,Sell
16,Veru ,06/01,12.19,VERU,Sell,Buy
17,Zoetis ,06/01,167.02,ZTS,Buy,Sell
