,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Adobe Systems ,03/18,453.33,ADBE,Buy,Sell
1,DraftKings ,03/18,19.62,DKNG,Buy,Sell
2,Darden Restaurants ,03/18,133.63,DRI,Buy,Sell
3,Enterprise Products Partn ,03/18,24.13,EPD,Buy,Sell
4,Gilead Sciences ,03/18,59.42,GILD,Sell,Buy
5,General Mills ,03/18,62.41,GIS,Buy,Sell
6,Hayward Holdings ,03/18,17.56,HAYW,Buy,Sell
7,Hims & Hers Health ,03/18,5.1,HIMS,Sell,Buy
8,Healthcare Realty Trust ,03/18,27.38,HR,Buy,Sell
9,KB Home ,03/18,38.39,KBH,Buy,Sell
10,MarketWise ,03/18,4.43,MKTW,Buy,Sell
11,Nike ,03/18,131.24,NKE,Sell,Buy
12,NVIDIA ,03/18,264.53,NVDA,Buy,Sell
13,Ollie's Bargain Outlet ,03/18,42.91,OLLI,Buy,Sell
14,Ryan Specialty Group ,03/18,36.12,RYAN,Buy,Sell
15,Vivid Seats ,03/18,11.39,SEAT,Buy,Sell
16,Shell Midstream Partners ,03/18,13.93,SHLX,Sell,Buy
17,Sovos Brands ,03/18,12.63,SOVO,Buy,Sell
18,Two Harbors ,03/18,5.38,TWO,Sell,Buy
19,Vacasa ,03/18,7.98,VCSA,Buy,Sell
20,Ventas ,03/18,59.46,VTR,Buy,Sell
