,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Allbirds ,03/04,6.33,BIRD,Sell,Buy
1,Bumble ,03/04,18.08,BMBL,Sell,Buy
2,Campbell Soup ,03/04,45.55,CPB,Buy,Sell
3,Dicks Sporting Goods ,03/04,109.71,DKS,Buy,Sell
4,DocuSign ,03/04,101.38,DOCU,Sell,Buy
5,Devon Energy ,03/04,59.57,DVN,Buy,Sell
6,eBay ,03/04,55.66,EBAY,Sell,Buy
7,Freeport-McMoRan ,03/04,50.11,FCX,Buy,Sell
8,Kohl's ,03/04,58.77,KSS,Buy,Sell
9,Macy's ,03/04,24.8,M,Buy,Sell
10,MongoDB ,03/04,306.11,MDB,Sell,Buy
11,On Holding ,03/04,21.97,ONON,Sell,Buy
12,Progress Software ,03/04,44.28,PRGS,Sell,Buy
13,The RealReal ,03/04,7.39,REAL,Sell,Buy
14,Rivian ,03/04,47.39,RIVN,Sell,Buy
15,Stitch Fix ,03/04,11.17,SFIX,Sell,Buy
16,Virgin Galactic ,03/04,7.84,SPCE,Sell,Buy
17,Splunk ,03/04,129.06,SPLK,Buy,Sell
18,AT&T ,03/04,23.87,T,Sell,Buy
19,Trex ,03/04,74.68,TREX,Sell,Buy
20,Hostess Brands ,03/04,22.22,TWNK,Buy,Sell
21,Ulta Beauty ,03/04,366.76,ULTA,Buy,Sell
22,Wheels Up ,03/04,3.13,UP,Buy,Sell
