,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,American Airlines ,04/25,19.98,AAL,Buy,Sell
1,Applied Materials ,04/25,114.47,AMAT,Buy,Sell
2,Canopy Growth ,04/25,5.57,CGC,Sell,Buy
3,Capri Holdings ,04/25,48.65,CPRI,Buy,Sell
4,Delta Air Lines ,04/25,43.27,DAL,Buy,Sell
5,Enbridge ,04/25,44.15,ENB,Buy,Sell
6,EnLink Midstream ,04/25,9.69,ENLC,Buy,Sell
7,Enterprise Products Partn ,04/25,25.9,EPD,Buy,Sell
8,Energy Transfer ,04/25,11.11,ET,Buy,Sell
9,FTI Consulting ,04/25,7.73,FTI,Buy,Sell
10,Informatica ,04/25,21.62,INFA,Buy,Sell
11,JetBlue Airways ,04/25,13.06,JBLU,Sell,Buy
12,Kinder Morgan ,04/25,18.61,KMI,Buy,Sell
13,Coca-Cola ,04/25,65.94,KO,Buy,Sell
14,Lithium Americas ,04/25,27.15,LAC,Sell,Buy
15,Otis Worldwide ,04/25,74.6,OTIS,Buy,Sell
16,Ralph Lauren ,04/25,108.43,RL,Buy,Sell
17,Spirit Airlines ,04/25,25.76,SAVE,Sell,Buy
18,Twitter ,04/25,51.7,TWTR,Sell,Buy
19,United Continental ,04/25,51.3,UAL,Buy,Sell
20,Frontier Group ,04/25,11.31,ULCC,Sell,Buy
21,Whirlpool ,04/25,178.87,WHR,Buy,Sell
