,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Allego ,04/19,10.83,ALLG,Sell,Buy
1,Bank of America ,04/19,39.57,BAC,Buy,Sell
2,CNA Financial ,04/19,48.66,CNA,Buy,Sell
3,Gladstone Land ,04/19,41.71,LAND,Buy,Sell
4,ProLogis ,04/19,169.56,PLD,Buy,Sell
5,Plug Power ,04/19,28.05,PLUG,Buy,Sell
6,Vale ,04/19,18.75,VALE,Buy,Sell
7,Veru ,04/19,12.64,VERU,Sell,Buy
