,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Applied Materials ,06/15,97.42,AMAT,Buy,Sell
1,AMN Healthcare Services ,06/15,103.32,AMN,Buy,Sell
2,Alibaba ,06/15,108.03,BABA,Sell,Buy
3,Dutch Bros ,06/15,34.17,BROS,Buy,Sell
4,Chargepoint ,06/15,13.36,CHPT,Sell,Buy
5,Cleveland-Cliffs ,06/15,18.05,CLF,Sell,Buy
6,Ford Motor ,06/15,12.27,F,Buy,Sell
7,Eli Lilly ,06/15,292.99,LLY,Buy,Sell
8,Meta Platforms ,06/15,169.35,META,Buy,Sell
9,Medical Properties Trust ,06/15,14.99,MPW,Buy,Sell
10,Nucor ,06/15,116.46,NUE,Buy,Sell
11,Planet Fitness ,06/15,64.42,PLNT,Buy,Sell
12,Prothena ,06/15,23.68,PRTA,Sell,Buy
13,SoFi Technologies ,06/15,5.94,SOFI,Buy,Sell
14,Toll Brothers ,06/15,44.38,TOL,Buy,Sell
15,Woodside Energy Group ,06/15,22.11,WDS,Buy,Sell
16,Whirlpool ,06/15,155.52,WHR,Buy,Sell
