,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Amerisourcebergen ,05/10,159.65,ABC,Buy,Sell
1,Aecom Technology ,05/10,65.81,ACM,Buy,Sell
2,Affirm ,05/10,18.19,AFRM,Sell,Buy
3,Biohaven Pharmaceuticals ,05/10,140.0,BHVN,Buy,Sell
4,Black Knight ,05/10,69.54,BKI,Sell,Buy
5,Crocs ,05/10,54.2,CROX,Buy,Sell
6,Funko ,05/10,19.33,FNKO,Buy,Sell
7,McKesson ,05/10,329.83,MCK,Buy,Sell
8,Microsoft ,05/10,269.5,MSFT,Buy,Sell
9,Sysco ,05/10,86.05,SYY,Buy,Sell
10,Upstart ,05/10,33.61,UPST,Sell,Buy
