,Company,Date,Price,Symbol,Recommendation,InverseCramer
0,Adobe Systems ,03/29,466.33,ADBE,Buy,Sell
1,FedEx ,03/29,238.57,FDX,Buy,Sell
2,FMC Corp ,03/29,130.7,FMC,Buy,Sell
3,McCormick ,03/29,96.9,MKC,Buy,Sell
4,Rocket Companies ,03/29,11.23,RKT,Sell,Buy
5,SIGA Technologies ,03/29,7.13,SIGA,Buy,Sell
6,Village Farms ,03/29,5.74,VFF,Sell,Buy
7,Yeti Holdings ,03/29,61.3,YETI,Buy,Sell
